Altium Designer Pick and Place Locations
C:\Applications\hardware\pca10184\trunk\production_files\400861_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       10.02.26
Time:       09:31
Revision:   41237
Variant:    pca10184 - Main
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"H2","MountingHole_NPTH","TopLayer","MountingHole_3.2_M3","44.0000","58.5004","0","Mounting hole, 3.2mm, M3, no annular"
"H3","MountingHole_NPTH","TopLayer","MountingHole_3.2_M3","113.1000","58.5004","0","Mounting hole, 3.2mm, M3, no annular"
"H4","MountingHole_NPTH","TopLayer","MountingHole_3.2_M3","8.0000","5.0004","0","Mounting hole, 3.2mm, M3, no annular"
"H5","MountingHole_NPTH","TopLayer","MountingHole_3.2_M3","44.0000","5.0004","0","Mounting hole, 3.2mm, M3, no annular"
"H6","MountingHole_NPTH","TopLayer","MountingHole_3.2_M3","106.0000","5.0004","0","Mounting hole, 3.2mm, M3, no annular"
"P8","Pin Header 2x2 SMD","TopLayer","HDR_2x2-SMD","44.0000","25.4000","0","Pin Header 2x2, SMD, 2.54mm (100mil)"
"P10","Pin Header 2x2 SMD","TopLayer","HDR_2x2-SMD","82.7350","38.1000","0","Pin Header 2x2, SMD, 2.54mm (100mil)"
"P7","Pin Header 2x2 SMD","TopLayer","HDR_2x2-SMD","44.0000","38.1000","0","Pin Header 2x2, SMD, 2.54mm (100mil)"
"P9","Pin Header 2x2 SMD","TopLayer","HDR_2x2-SMD","82.7350","50.8000","0","Pin Header 2x2, SMD, 2.54mm (100mil)"
"P6","Pin Header 2x2 SMD","TopLayer","HDR_2x2-SMD","44.0000","50.8000","0","Pin Header 2x2, SMD, 2.54mm (100mil)"
"P5","Pin Hdr 2x10","TopLayer","HDR_2x10-SMD","101.7850","38.1000","0","Pin Header 2x10, 2.54mm (100mil) SMD"
"P3","Pin Hdr 2x10","TopLayer","HDR_2x10-SMD","63.0500","25.4000","0","Pin Header 2x10, 2.54mm (100mil) SMD"
"P4","Pin Hdr 2x10","TopLayer","HDR_2x10-SMD","101.7850","50.8000","0","Pin Header 2x10, 2.54mm (100mil) SMD"
"P2","Pin Hdr 2x10","TopLayer","HDR_2x10-SMD","63.0500","38.1000","0","Pin Header 2x10, 2.54mm (100mil) SMD"
"P1","Pin Hdr 2x10","TopLayer","HDR_2x10-SMD","63.0500","50.8000","0","Pin Header 2x10, 2.54mm (100mil) SMD"
"LOGO1","WEE Symbol","BottomLayer","WEE_3x4.5mm","-25.0000","-24.9996","90","WEEE Directive symbol"
"LABEL1","12x12mm","TopLayer","LabelSilk_12x12","-25.0000","-24.9996","0","PCA version label, stick-on, 12x12mm"
"JP1","Shunt 2.54mm","TopLayer","Shunt_2.54mm_Vertical","-25.0000","-24.9996","0","Shunt Jumper 2.54mm Black, open top"
"J5","FPC 0.5mm RA SMD","TopLayer","FPC_05P-0.5mm-RA-SMD","141.9000","57.1504","180","0.5mm FPC, 5P,Right Angle SMT,Double Contact,H=1.2mm,White, Tin plated"
